"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"44","desaicaifu","浙江","dscf","2013-08-01 00:00:00","0","2305","德塞财富","2013-11","2013-11-12 00:00:00","1000","0","0","提现困难"
"45","baoshijinrong","江苏","bsjr","2013-09-03 00:00:00","0","2303","宝仕金融","2013-11","2013-11-11 00:00:00","1000","0","0","提现困难"
"46","guangdaxintou","江苏","gdxt","2013-09-26 00:00:00","0","2302","光大信投","2013-11","2013-11-09 00:00:00","1000","0","0","提现困难"
"47","zhonglianleyin","浙江","zlly","2013-04-18 00:00:00","0","132","中联乐银","2013-11","2013-11-08 00:00:00","500","0","0","提现困难"
"48","sanajiedai","山东","sajd","2013-07-01 00:00:00","0","2300","3a借贷","2013-11","2013-11-08 00:00:00","0","0","0","提现困难"
"49","yidechuangtou","浙江","ydct","2013-09-12 00:00:00","0","2301","益得创投","2013-11","2013-11-08 00:00:00","1000","0","0","提现困难"
"50","duliangchuangtou","江苏","dlct","2013-09-12 00:00:00","0","2296","都梁创投","2013-11","2013-11-05 00:00:00","1000","0","0","提现困难"
"51","huiyintouzi","浙江","hytz","2013-09-01 00:00:00","0","2297","汇银投资","2013-11","2013-11-05 00:00:00","518","0","0","提现困难"
"52","pengchengdai1","广东","pcd1","2012-10-18 00:00:00","0","2299","鹏城贷","2013-11","2013-11-05 00:00:00","1000","0","0","跑路"
"53","zhaojindai","内蒙古","zjd","2013-10-01 00:00:00","0","2277","招金贷","2013-11","2013-11-04 00:00:00","1000","0","0","提现困难"
"54","baofengchuangtou","广东","bfct","2013-08-23 00:00:00","0","2279","宝丰创投","2013-11","2013-11-04 00:00:00","1000","0","0","提现困难"
"55","huihuangcaifu","安徽","hhcf","2013-09-08 00:00:00","0","2280","徽煌财富","2013-11","2013-11-04 00:00:00","500","0","0","提现困难"
"56","qiankundai","江苏","qkd","2013-07-07 00:00:00","0","2275","乾坤贷","2013-11","2013-11-03 00:00:00","1000","0","0","提现困难"
"57","tongdudai","安徽","tdd","2013-05-01 00:00:00","0","2274","铜都贷","2013-11","2013-11-02 00:00:00","1200","0","0","提现困难"
"58","pinghaijinrong","江苏","phjr","2013-07-05 00:00:00","0","2273","平海金融","2013-10","2013-10-30 00:00:00","0","0","0","提现困难"
"59","","山东","","2013-06-01 00:00:00","0","5973","信网贷","2013-10","2013-10-30 00:00:00","600","0","1","提现困难"
"60","tongliandai","广东","tld9","2013-08-01 00:00:00","0","2271","通联贷","2013-10","2013-10-29 00:00:00","500","0","0","提现困难"
"61","zheshangdai","浙江","zsd","2013-06-01 00:00:00","0","2272","浙商贷","2013-10","2013-10-29 00:00:00","500","0","0","提现困难"
"62","yinxindai1","湖北","yxd1","2013-09-29 00:00:00","0","2270","银鑫贷","2013-10","2013-10-28 00:00:00","0","0","0","提现困难"
"63","jiajiadai","浙江","jjd","2013-07-01 00:00:00","0","2269","家家贷","2013-10","2013-10-27 00:00:00","500","0","0","提现困难"
