"id","amount","avgBidMoney","avgBorrowMoney","background","bidderNum","borrowerNum","currentLeverageAmount","dataStatus","developZhishu","incomeRate","loanPeriod","netInflowOfThirty","newbackground","onlineTime","platId","platName","regCapital","status","stayStillOfNextSixty","stayStillOfTotal","timeOperation","top10DueInProportion","top10StayStillProportion","totalLoanNum","wdzjPlatId","weightedAmout","month"
"849","1987.90","11.56","28.00","","172","71","1.27","0","0.0","16.55","2.68","-17.76","民营系","2017-07-01","zhongdaihui","众贷汇","3333","0","2892.14","4232.13","20","36.80","35.32","228","2491","","2017-02"
"850","1986.49","2.79","198.65","","711","10","0.00","0","","8.05","1.93","0.00","","","2465","派派猪理财","0","0","","","0","0.00","0.00","31","0","","2017-02"
"851","1977.00","6.16","85.96","国资系","321","23","1.31","0","0.0","11.39","2.89","140.20","国资系","2017-07-01","3271","中融通贷","5000","0","4535.94","6534.68","36","25.92","38.50","167","3271","","2017-02"
"852","1975.03","9.10","658.34","","217","3","0.79","0","0.0","8.59","2.48","88.33","民营系","2017-07-01","wanfubao","万富宝","5000","0","2997.91","3955.7","22","38.89","100.00","216","1928","","2017-02"
"853","1971.35","19.71","394.27","民营系","100","5","5.43","0","0.0","10.18","3.78","48.05","民营系","2017-07-01","2108","易BANK","1000","0","2341.42","5432.04","23","53.52","100.00","28","2108","","2017-02"
"854","1953.70","2.07","13.57","","944","144","12.40","0","0.0","14.28","3.29","-62.76","民营系","2017-07-01","1614","58车贷","1000","0","6091.19","12398.55","23","15.60","50.32","276","1614","","2017-02"
"855","1941.70","4.70","47.36","","413","41","0.00","0","","16.41","1.47","0.00","","","9cvc","久信e贷","0","0","","","0","0.00","0.00","149","0","","2017-02"
"856","1919.82","10.16","24.93","民营系","189","77","2.91","0","0.0","11.68","1.23","38.56","民营系","2017-07-01","zhenxindai","真鑫贷","1000","0","2614.62","2908.02","43","60.80","43.79","178","373","","2017-02"
"857","1914.00","2.18","29.45","国资系","880","65","1.60","0","0.0","11.15","3.72","-32.08","国资系","2017-07-01","3346","钱满仓","5000","0","3173.52","8007.26","25","22.59","41.49","77","3346","","2017-02"
"858","1900.00","5.86","1900.00","民营系","324","1","1.04","0","0.0","14.54","2.85","188.95","民营系","2017-07-01","2378","手投网","5000","0","2956.57","5179.32","19","40.50","100.00","53","2378","","2017-02"
"859","1882.30","5.32","34.86","","354","54","1.19","0","0.0","16.83","4.11","236.92","民营系","2017-07-01","changjiudai","长久贷","6000","0","2230.93","7154.06","32","38.43","22.14","76","605","","2017-02"
"860","1865.15","9.92","9.28","民营系","188","201","3.03","0","0.0","15.87","2.14","109.29","民营系","2017-07-01","2203","乐投创富","3000","0","1525.3","3031.88","23","49.32","96.00","271","2203","","2017-02"
"861","1851.50","3.62","264.50","民营系","512","7","9.11","0","0.0","11.85","5.18","42.48","民营系","2017-07-01","2608","鼠贷金融","1000","0","4653.81","9106.29","20","22.70","98.47","92","2608","","2017-02"
"862","1831.00","5.32","23.47","民营系","344","78","0.61","0","0.0","18.09","3.36","100.87","民营系","2017-07-01","3955","中潮金服","10000","0","2922.79","6063.32","14","32.87","12.49","78","3955","","2017-02"
"863","1822.01","2.62","12.57","","696","145","0.93","0","0.0","14.86","2.15","92.97","","2017-07-01","3351","车财网","5000","0","3412.48","4647.69","16","10.07","16.25","150","3351","","2017-02"
"864","1761.00","2.06","76.57","民营系","855","23","9.89","0","0.0","8.95","8.94","49.52","民营系","2017-07-01","5086","58红利","1000","0","1001.57","9889.31","26","20.45","35.39","43","5086","","2017-02"
"865","1760.30","5.06","11.43","","348","154","3.37","0","0.0","10.54","5.21","92.59","上市系","2017-07-01","3098","惠投无忧","2000","0","3227.29","6741.98","19","26.56","20.93","155","3098","","2017-02"
"866","1718.99","4.50","23.23","民营系","382","74","3.52","0","0.0","9.53","5.20","83.16","民营系","2017-07-01","1473","喔喔贷","3000","0","2680.63","10551.86","25","12.93","33.36","89","1473","","2017-02"
"867","1715.00","23.82","1715.00","国资系","72","1","16.03","0","0.0","6.96","4.71","-1.08","国资系","2017-07-01","yijiayidai","1+1贷","1000","0","5252.91","16027.76","22","54.83","97.54","30","2848","","2017-02"
"868","1701.00","7.46","45.97","民营系","228","37","9.79","0","0.0","10.19","4.98","26.80","民营系","2017-07-01","4211","来融金服","1000","0","4478.06","9789.35","21","40.13","13.16","37","4211","","2017-02"
"869","1678.77","15.84","839.39","民营系","106","2","0.66","0","0.0","8.04","0.45","0.00","民营系","2017-07-01","4183","易享贷","5000","0","2712.86","3278.98","25","44.02","100.00","21","4183","","2017-02"
"870","1650.00","7.64","165.00","民营系","216","10","1.22","0","0.0","14.05","5.05","147.45","民营系","2017-07-01","chengtounet","诚投在线","5000","0","2102.85","6121.3","24","31.03","78.94","19","1616","","2017-02"
"871","1643.50","12.64","102.72","","130","16","0.75","0","0.0","12.76","6.32","-57.52","","2017-07-01","duijin8","堆金网","9000","0","2047.34","6746.69","23","82.28","80.12","96","1757","","2017-02"
"872","1640.00","24.12","102.50","民营系","68","16","1.67","0","0.0","11.25","5.23","124.59","民营系","2017-07-01","5514","改革牛","3100","0","727.65","5169.3","4","71.07","72.74","47","5514","","2017-02"
"873","1625.00","4.11","67.71","民营系","395","24","1.15","0","0.0","14.01","3.47","40.64","民营系","2017-07-01","jsdp2p","今时贷","5000","0","2517.58","5732.62","28","21.93","56.22","161","1038","","2017-02"
"874","1611.70","4.01","31.60","民营系","402","51","0.64","0","0.0","14.29","2.21","1.81","民营系","2017-07-01","jinpaip2p","金牌理财","5000","0","2178.54","3205.72","25","25.11","27.49","59","1918","","2017-02"
"875","1608.86","7.21","1608.86","国资系","223","1","6.75","0","0.0","10.00","24.00","88.00","国资系","2017-07-01","chinap2g","投促金融","2000","0","2905.54","13494.85","27","30.09","100.00","33","1168","","2017-02"
"876","1565.00","4.02","7.42","民营系","389","211","7.81","0","0.0","11.35","6.40","18.77","民营系","2017-07-01","3948","新富创投","1000","0","3225.52","7810.15","27","25.13","29.25","247","3948","","2017-02"
"877","1530.00","3.80","54.64","民营系","403","28","1.92","0","0.0","11.50","4.76","52.80","民营系","2017-07-01","rongtoudai","融投贷","3000","0","2448.97","5746.19","34","16.39","24.21","40","585","","2017-02"
"878","1520.35","6.94","138.21","国资系","219","11","1.39","0","0.0","9.48","2.82","18.65","国资系","2017-07-01","1552","梦想盈行","5000","0","4386.15","6925.19","25","29.85","60.03","70","1552","","2017-02"
"879","1497.00","17.82","249.50","民营系","84","6","0.82","0","0.0","13.20","3.00","44.81","民营系","2017-07-01","fenqian","分钱网","10000","0","6670.69","8199.33","23","61.45","66.73","110","1761","","2017-02"
"880","1490.00","3.93","39.21","民营系","379","38","1.19","0","0.0","7.84","4.92","0.12","民营系","2017-07-01","6302","诚成贷","5000","0","1362.15","5944.74","26","18.59","33.31","46","6302","","2017-02"
"881","1483.00","3.85","40.08","民营系","385","37","1.94","0","0.0","12.06","5.22","40.66","民营系","2017-07-01","1680","钱道网","5000","0","3297.64","9676.47","26","18.20","5.93","37","1680","","2017-02"
"882","1482.85","3.62","1482.85","","410","1","0.00","0","","13.12","2.50","0.00","","","zhubaby","猪宝宝","0","0","","","0","0.00","0.00","50","0","","2017-02"
"883","1471.23","3.23","77.43","民营系","455","19","0.20","0","0.0","11.31","0.71","38.40","民营系","2017-07-01","4387","聚宝珠","5000","0","1180.87","1021.71","9","48.82","85.49","95","4387","","2017-02"
"884","1452.00","11.08","53.78","民营系","131","27","2.60","0","0.0","8.02","2.67","-44.97","民营系","2017-07-01","ssp2p","圈圈贷","5000","0","3457.96","13014.59","59","60.26","35.92","27","108","","2017-02"
"885","1430.86","5.42","71.54","国资系","264","20","0.69","0","0.0","9.98","2.26","34.25","国资系","2017-07-01","4215","四海众投","5000","0","2215.64","3426.51","20","20.73","45.81","158","4215","","2017-02"
"886","1430.50","8.13","357.63","民营系","176","4","4.96","0","0.0","18.56","2.10","128.04","民营系","2017-07-01","andaibao","安贷宝","1000","0","4142.52","4956.36","26","36.76","100.00","128","1264","","2017-02"
"887","1382.40","3.89","1382.40","民营系","355","1","2.95","0","0.0","8.49","3.80","-41.65","民营系","2017-07-01","4320","看看钱包","1200","0","15.62","3537.45","20","53.09","100.00","206","4320","","2017-02"
"888","1378.60","8.30","12.31","民营系","166","112","0.75","0","0.0","16.67","2.01","16.53","民营系","2017-07-01","yingjinsuo","盈金所","3000","0","1511.61","2238.79","21","36.64","17.45","112","2439","","2017-02"
"889","1374.00","1.85","124.91","","744","11","1.01","0","0.0","9.29","1.85","197.34","民营系","2017-07-01","3301","鱼猫金服","5000","0","2815.48","5059.09","25","61.51","68.71","18","3301","","2017-02"
"890","1346.39","8.98","134.64","","150","10","0.00","0","","6.24","1.06","0.00","","","1646","中恒宝","0","0","","","0","0.00","0.00","260","0","","2017-02"
"891","1337.19","13.11","445.73","民营系","102","3","3.65","0","0.0","8.52","3.00","-23.46","民营系","2017-07-01","caishenzaixian","财神在线（渝）","1000","0","2223.38","3650.26","33","47.71","100.00","42","916","","2017-02"
"892","1333.00","1.82","60.59","","731","22","0.30","0","0.0","12.45","1.32","0.00","民营系","2017-07-01","weijinzaixian","微金在线","5000","0","32.12","1502.55","35","14.43","58.71","22","507","","2017-02"
"893","1327.47","5.07","120.68","民营系","262","11","2.19","0","0.0","9.64","1.50","73.89","民营系","2017-07-01","4038","悦享金服","1000","0","1467.96","2189.58","13","33.75","90.54","94","4038","","2017-02"
"894","1326.71","0.33","0.31","民营系","3981","4315","1.09","0","0.0","6.18","25.10","22.08","民营系","2017-07-01","4245","洋葱先生","10000","0","1456.51","10853.19","19","22.27","1.55","99633","4245","","2017-02"
"895","1299.57","9.09","108.30","","143","12","0.96","0","0.0","9.62","6.56","156.85","","2017-07-01","hengdacaifu","恒大财富","5600","0","2095.59","5369.23","26","47.43","95.87","183","1312","","2017-02"
"896","1275.38","1.17","159.42","","1091","8","2.04","0","0.0","7.98","2.14","32.59","国资系","2017-07-01","4631","银承派","4737","0","1626.43","2043.04","23","19.70","100.00","107","4631","","2017-02"
"897","1242.09","3.72","9.41","民营系","334","132","0.40","0","0.0","12.83","3.11","9.83","民营系","2017-07-01","2833","简易贷","8000","0","1478.76","3173.46","19","24.05","10.21","132","2833","","2017-02"
"898","1237.86","3.82","0.16","","324","7837","0.07","0","0.0","11.99","1.62","24.05","","2017-07-01","2619","牛娃互联网金融","5000","0","1552.11","2060.78","22","21.15","7.58","9450","2619","","2017-02"
"899","1222.00","13.73","11.64","","89","105","9.71","0","0.0","11.71","9.71","239.98","民营系","2017-07-01","4266","有喜财富","1000","0","3639.18","9709.84","11","69.69","9.82","105","4266","","2017-02"
"900","1206.13","1.15","7.94","","1050","152","2.58","0","0.0","14.44","2.32","16.34","民营系","2017-07-01","1444","量子金融","1000","0","1465.58","2577.96","26","0.00","0.00","159","1444","","2017-02"
"901","1164.70","0.58","17.13","","1994","68","20.87","0","0.0","16.72","8.50","86.20","民营系","2017-07-01","toufuli","投复利","1500","0","6254.06","31300.02","26","9.83","13.98","103","1331","","2017-02"
"902","1159.72","2.01","10.17","","578","114","1.10","0","0.0","14.18","5.85","64.53","民营系","2017-07-01","p2phzw","惠众金融","5000","0","3989.16","5493.82","48","18.02","46.84","119","195","","2017-02"
"903","1153.50","4.44","96.13","","260","12","0.00","0","","15.32","6.73","0.00","","","qhgsf","前海广深发","0","0","","","0","0.00","0.00","129","0","","2017-02"
"904","1142.85","23.81","5.83","民营系","48","196","1.50","0","0.0","19.28","1.34","73.31","民营系","2017-07-01","crtz","创融在线","1000","0","1317.09","1504.17","40","79.08","21.71","196","361","","2017-02"
"905","1140.90","6.59","30.02","民营系","173","38","0.80","0","0.0","9.60","4.81","0.55","民营系","2017-07-01","2192","你好贷","5000","0","2007.04","4014.18","23","30.72","47.40","61","2192","","2017-02"
"906","1130.00","2.12","376.67","国资系","532","3","0.47","0","0.0","11.46","4.10","202.84","国资系","2017-07-01","pangpangpig","胖胖猪","5752","0","1216.68","2713.41","25","23.69","96.64","74","1796","","2017-02"
"907","1124.50","2.88","14.06","","391","80","2.48","0","0.0","14.09","4.63","0.99","民营系","2017-07-01","lihaodai","利好贷","1500","0","2140.49","3717.31","38","23.83","10.85","84","405","","2017-02"
"908","1115.00","15.27","278.75","","73","4","2.54","0","0.0","12.00","2.86","103.00","民营系","2017-07-01","lijuren","利巨人","1000","0","1237.9","2536.8","28","75.44","87.95","20","962","","2017-02"
"909","1097.00","8.25","16.13","民营系","133","68","3.18","0","0.0","19.63","2.69","82.91","民营系","2017-07-01","longtaidai","隆泰贷","1000","0","1559.75","3176.19","35","42.77","37.57","139","2018","","2017-02"
"910","1095.00","6.29","15.00","","174","73","0.00","0","","15.11","5.11","0.00","","","dazhondai","大众贷","0","0","","","0","0.00","0.00","73","0","","2017-02"
"911","1093.00","4.27","43.72","","256","25","1.80","0","0.0","17.80","8.50","10.91","","2017-07-01","wanqianshangdai","皖乾商贷","5000","0","1456.44","9017.45","24","34.35","34.32","210","2002","","2017-02"
"912","1091.59","2.75","7.58","","397","144","1.39","0","0.0","12.83","3.79","51.24","民营系","2017-07-01","2070","优投在线","3000","0","1912.47","4179.56","21","33.82","27.93","144","2070","","2017-02"
"913","1085.00","8.68","83.46","民营系","125","13","1.69","0","0.0","16.99","3.47","51.00","民营系","2017-07-01","ifengdai","赣商贷","2000","0","1368.89","3383.72","36","44.37","41.48","140","424","","2017-02"
"914","1085.00","11.54","180.83","","94","6","4.87","0","0.0","10.00","6.00","-152.29","民营系","2017-07-01","letou100","乐投壹佰","1500","0","992.5","4865.8","35","47.75","67.93","11","948","","2017-02"
"915","1060.00","13.42","96.36","","79","11","1.56","0","0.0","19.32","1.92","32.17","","2017-07-01","esafedai","爱蚂蚁","1000","0","1083.56","1561.46","24","46.81","96.73","48","3742","","2017-02"
"916","1047.48","4.04","13.78","民营系","259","76","0.27","0","0.0","9.97","4.65","92.01","民营系","2017-07-01","lujinsuop2p","鲁金所","10000","0","1545.75","2715.62","18","41.62","41.09","245","2820","","2017-02"
"917","1041.61","7.49","15.32","民营系","139","68","0.68","0","0.0","15.00","1.19","-18.63","民营系","2017-07-01","huichedai","惠车贷","2000","0","1251.91","1364.73","38","35.13","47.90","133","716","","2017-02"
"918","1038.57","4.74","6.15","民营系","219","169","0.57","0","0.0","15.06","0.99","18.65","民营系","2017-07-01","3324","车赚","2000","0","1144.39","1141.88","16","20.96","21.28","172","3324","","2017-02"
"919","1024.00","2.83","85.33","","362","12","1.80","0","0.0","14.14","9.44","-5.65","","2017-07-01","fangyidaicn","房易贷","5000","0","1881.95","9007.15","22","15.47","24.19","42","1959","","2017-02"
"920","1005.60","8.98","10.48","","112","96","1.36","0","0.0","14.40","1.32","78.73","民营系","2017-07-01","2165","优车融","1000","0","1219.74","1355.45","21","57.90","20.20","99","2165","","2017-02"
"921","994.00","8.02","55.22","民营系","124","18","0.54","0","0.0","18.36","1.49","36.03","民营系","2017-07-01","edaionline","易贷在线","3000","0","1368.5","1632.79","28","58.37","64.61","95","1497","","2017-02"
"922","990.00","10.53","110.00","","94","9","8.50","0","0.0","12.55","5.85","-10.35","民营系","2017-07-01","yieloan","易e贷","1000","0","1534.6","4249.56","33","42.69","78.49","34","637","","2017-02"
"923","988.00","3.04","164.67","民营系","325","6","3.95","0","0.0","11.49","2.41","-132.02","民营系","2017-07-01","3867","艺点理财","1000","0","3296.23","3950.28","15","27.09","92.93","40","3867","","2017-02"
"924","987.98","4.31","6.17","民营系","229","160","1.64","0","0.0","9.91","5.86","-0.35","民营系","2017-07-01","3148","小平贷","2000","0","740.05","3278.01","22","19.02","50.22","1505","3148","","2017-02"
"925","980.00","2.44","163.33","上市公司系","402","6","0.13","0","0.0","6.17","1.91","75.71","上市系","2017-07-01","4898","点理财","10000","0","903.98","1260.83","7","34.21","99.13","25","4898","","2017-02"
"926","975.85","8.71","243.96","","112","4","0.88","0","0.0","14.57","2.18","52.03","","2017-07-01","2071","财火火","3000","0","2151.5","2627.15","26","78.43","100.00","38","2071","","2017-02"
"927","970.00","19.02","970.00","民营系","51","1","1.06","0","0.0","14.21","1.82","20.48","民营系","2017-07-01","zgwyd","温易贷","1888","0","1604.68","2009.61","28","46.40","100.00","48","1023","","2017-02"
"928","963.00","7.52","68.79","民营系","128","14","1.43","0","0.0","7.89","2.45","98.90","民营系","2017-07-01","58caifu","58财福","5000","0","4484.75","7142.65","34","33.69","46.26","20","659","","2017-02"
"929","961.50","11.87","32.05","民营系","81","30","4.16","1","0.0","10.51","1.51","26.94","民营系","2017-07-01","402","闲钱宝","1000","0","0.0","4159.87","38","42.80","50.10","34","402","","2017-02"
"930","952.50","1.80","20.71","","528","46","0.78","0","0.0","11.42","3.66","41.17","民营系","2017-07-01","dangpoo","响當當","5000","0","1650.26","3905.92","29","9.73","18.47","46","1018","","2017-02"
"931","934.22","3.86","54.95","民营系","242","17","26.43","0","0.0","14.01","4.56","54.17","民营系","2017-07-01","4280","微镇","900","0","2582.32","6500.61","22","23.08","24.14","37","4280","","2017-02"
"932","933.50","4.38","9.53","","213","98","0.95","0","0.0","14.73","3.11","-20.14","民营系","2017-07-01","1941","粒子财富","2000","0","1417.94","1899.88","22","38.21","35.08","101","1941","","2017-02"
"933","924.06","231.01","20.53","民营系","4","45","1.55","0","0.0","12.93","4.49","-1.17","民营系","2017-07-01","5396","律金金融","5000","0","472.08","7732.69","19","99.94","63.11","117","5396","","2017-02"
"934","920.00","11.65","92.00","民营系","79","10","15.22","0","0.0","8.33","3.98","-159.12","民营系","2017-07-01","4103","长吉贷","1000","0","5652.47","15219.24","13","78.08","45.07","10","4103","","2017-02"
"935","916.03","3.43","2.11","","267","435","9.22","0","0.0","6.97","6.59","-1107.52","上市系","2017-07-01","3259","奇乐融","3000","0","14559.8","27672.53","16","20.06","90.75","450","3259","","2017-02"
"936","892.60","3.25","33.06","","275","27","12.25","0","0.0","19.15","13.95","40.74","民营系","2017-07-01","675","稳贷网","3000","0","2508.93","12254.72","33","15.55","16.06","30","675","","2017-02"
"937","891.40","5.34","42.45","民营系","167","21","0.78","0","0.0","11.53","7.87","34.28","民营系","2017-07-01","1523","红顶金融","10000","0","1066.63","7840.94","26","35.47","93.43","77","1523","","2017-02"
"938","889.05","5.97","6.49","","149","137","0.76","0","0.0","10.51","4.00","39.51","民营系","2017-07-01","1920","车富88","6500","0","3098.2","4924.28","25","37.29","27.88","157","1920","","2017-02"
"939","854.25","6.19","8.99","民营系","138","95","1.13","0","0.0","10.02","2.48","-24.87","民营系","2017-07-01","myhengli","恒利网","2000","0","1429.93","2266.85","31","36.65","22.53","95","1099","","2017-02"
"940","840.96","2.00","7.07","","420","119","0.65","0","0.0","12.12","3.32","50.43","民营系","2017-07-01","3483","合众e贷","5000","0","2482.93","3239.41","15","11.59","9.56","119","3483","","2017-02"
"941","823.80","11.28","48.46","","73","17","0.80","1","0.0","10.70","4.01","-1.66","民营系","2017-07-01","3510","皓添金融","5000","0","1044.25","4021.7","20","72.54","52.74","19","3510","","2017-02"
"942","800.90","3.62","17.41","","221","46","1.94","0","0.0","9.26","1.46","0.00","民营系","2017-07-01","4353","牛币网","1000","0","1725.52","1938.23","13","26.58","54.87","50","4353","","2017-02"
"943","790.15","5.81","263.38","民营系","136","3","0.66","0","0.0","13.25","4.07","-85.61","民营系","2017-07-01","wdjr999","皖都金融","3430","0","981.96","2250.45","43","42.26","100.00","57","250","","2017-02"
"944","784.50","13.30","43.58","民营系","59","18","0.87","0","0.0","15.60","1.00","25.33","民营系","2017-07-01","jhruitao","瑞涛财富","1000","0","870.67","870.67","29","62.53","84.93","32","1035","","2017-02"
"945","776.00","25.03","55.43","民营系","31","14","2.42","0","0.0","16.20","1.80","-0.14","民营系","2017-07-01","pandadai","熊猫贷","1000","0","1079.15","2424.91","32","83.53","95.99","64","688","","2017-02"
"946","770.40","4.40","192.60","","175","4","1.42","0","0.0","12.00","0.99","-14.26","","2017-07-01","1944","光华财缘网","2600","0","3641.08","3686.9","29","37.57","95.55","25","1944","","2017-02"
"947","767.50","6.56","45.15","","117","17","0.00","0","","15.70","2.20","0.00","","","shouhongcf","首鸿财富","0","0","","","0","0.00","0.00","47","0","","2017-02"
"948","756.90","3.28","37.85","民营系","231","20","0.55","0","0.0","16.13","2.39","51.68","民营系","2017-07-01","szytou","益投网贷","2200","0","614.12","1208.01","38","0.00","0.00","89","434","","2017-02"
"949","744.00","5.28","46.50","","141","16","0.29","0","0.0","11.21","4.58","31.24","国资系","2017-07-01","rongxin365","融信网","10000","0","1376.4","2928.2","48","24.83","35.59","25","125","","2017-02"
"950","722.50","2.07","42.50","","349","17","0.59","0","0.0","11.13","3.39","0.00","","2017-07-01","2455","拓天速贷","5000","0","2334.17","2936.2","20","25.45","34.42","17","2455","","2017-02"
"951","718.80","1.76","5.70","","409","126","0.97","0","0.0","12.94","6.75","30.27","民营系","2017-07-01","2401","金福财富","5800","0","890.5","5624.79","21","4.36","8.35","126","2401","","2017-02"
"952","706.80","2.71","37.20","民营系","261","19","0.32","0","0.0","17.64","1.83","-135.01","民营系","2017-07-01","2248","快捷财富","5000","0","629.37","1590.14","21","0.00","0.00","28","2248","","2017-02"
"953","705.22","5.26","100.75","民营系","134","7","0.30","1","0.0","16.00","1.15","35.67","民营系","2017-07-01","rongzj","融之家","3000","0","891.3","891.72","26","43.14","99.89","64","1542","","2017-02"
"954","705.00","3.79","141.00","民营系","186","5","1.19","0","0.0","9.18","1.69","-202.42","风投系","2017-07-01","palcw","平安理财网","2235","0","1842.56","2655.48","29","33.45","100.00","8","853","","2017-02"
"955","700.00","6.14","140.00","","114","5","0.00","0","","9.00","6.00","0.00","","","cailaicom","财来网","0","0","","","0","0.00","0.00","14","0","","2017-02"
"956","694.85","2.26","0.37","","308","1901","2.60","1","0.0","17.80","11.40","33.42","民营系","2017-07-01","3992","小树时代理财","1000","0","381.08","2598.53","23","0.00","0.00","1906","3992","","2017-02"
"957","668.00","5.10","334.00","民营系","131","2","0.62","0","0.0","14.28","3.15","26.09","民营系","2017-07-01","51wanli","万利金融","3000","0","960.34","1847.26","28","33.59","100.00","150","1167","","2017-02"
"958","653.25","7.60","130.65","民营系","86","5","0.43","0","0.0","7.36","2.16","-0.11","民营系","2017-07-01","365ibank","天天财富","11000","0","2678.81","4727.78","32","70.37","86.33","17","718","","2017-02"
"959","648.00","16.20","648.00","民营系","40","1","0.39","0","0.0","11.38","2.87","0.00","民营系","2017-07-01","huicaidai","汇财贷","10000","0","1490.12","3906.46","34","77.98","100.00","36","1870","","2017-02"
"960","626.50","3.80","16.93","","165","37","0.00","0","","8.77","2.27","0.00","","","1957","网筹金融","0","0","","","0","0.00","0.00","37","0","","2017-02"
"961","622.80","1.76","9.89","","353","63","0.29","0","0.0","13.62","2.12","-8.05","民营系","2017-07-01","2565","鼎诚创投","5000","0","1035.53","1425.63","27","43.60","15.31","84","2565","","2017-02"
"962","619.00","4.80","619.00","民营系","129","1","0.08","0","0.0","12.00","1.01","54.59","民营系","2017-07-01","4073","财富N次方","10000","0","851.6","829.97","26","41.51","100.00","44","4073","","2017-02"
"963","614.50","3.77","3.51","民营系","163","175","0.78","0","0.0","15.07","1.00","51.27","民营系","2017-07-01","ishangdai","爱上贷","1000","0","716.05","784.3","27","45.89","20.81","181","1135","","2017-02"
"964","612.00","3.36","306.00","民营系","182","2","0.23","0","0.0","8.21","0.88","29.09","风投系","2017-07-01","4182","e葱金融","5000","0","726.39","1146.72","12","69.69","100.00","17","4182","","2017-02"
"965","603.00","5.43","23.19","民营系","111","26","1.07","0","0.0","7.39","2.78","24.51","民营系","2017-07-01","2199","光合种子","5000","0","3988.25","5331.06","20","75.94","47.61","27","2199","","2017-02"
"966","603.00","5.15","46.38","民营系","117","13","1.51","0","0.0","13.22","6.43","165.52","民营系","2017-07-01","xiaofujr","小富金融","5000","0","0.0","7555.7","34","65.21","29.17","24","615","","2017-02"
"967","595.25","18.60","4.02","","32","148","0.74","0","0.0","11.80","1.12","-0.06","","2017-07-01","chuangdai","创贷网","1100","0","753.75","818.13","44","65.17","20.03","168","4020","","2017-02"
"968","572.59","11.69","572.59","民营系","49","1","0.37","0","0.0","14.00","0.52","37.46","民营系","2017-07-01","iyxth","亿信天合","1000","0","367.09","367.09","31","76.51","100.00","58","1332","","2017-02"
"969","570.00","6.26","190.00","","91","3","0.00","0","","22.40","1.00","0.00","","","hxdai","宏信创投","0","0","","","0","0.00","0.00","19","0","","2017-02"
"970","557.43","2.83","92.90","","197","6","0.00","0","","15.69","1.01","0.00","","","mifengcaifu","蜜蜂财富","0","0","","","0","0.00","0.00","58","0","","2017-02"
"971","534.60","3.05","3.82","民营系","175","140","0.34","0","0.0","17.60","4.60","69.28","民营系","2017-07-01","4324","前沿财富","10000","0","930.51","3359.37","16","32.98","5.73","140","4324","","2017-02"
"972","522.50","4.67","29.03","民营系","112","18","0.26","0","0.0","15.47","1.31","18.02","民营系","2017-07-01","rongshangd","融商贷","3000","0","706.76","788.41","23","41.86","68.26","47","1721","","2017-02"
"973","516.00","6.00","258.00","民营系","86","2","0.25","0","0.0","12.82","3.83","111.24","民营系","2017-07-01","wuyuedai","五岳贷","10000","0","1374.29","2465.14","26","35.06","100.00","22","1650","","2017-02"
"974","500.00","4.17","100.00","","120","5","0.44","0","0.0","9.58","3.00","3081.45","民营系","2017-07-01","609","爱鸿森","7000","0","1895.14","3081.45","33","38.75","33.21","5","609","","2017-02"
"975","483.16","2.58","483.16","民营系","187","1","4.43","0","0.0","18.12","11.02","8.84","民营系","2017-07-01","v1dai","微易贷","1000","0","1212.83","4434.2","32","29.17","72.44","794","1681","","2017-02"
"976","465.00","3.50","15.50","","133","30","0.35","0","0.0","12.03","2.16","-30.50","","2017-07-01","4630","莆商贷","5000","0","985.25","1746.03","8","18.89","52.26","31","4630","","2017-02"
"977","460.50","5.35","4.61","","86","100","0.00","0","0.0","19.02","7.34","20.63","民营系","2017-07-01","852","知财网","500","0","754.75","3139.82","0","60.89","9.04","113","852","","2017-02"
"978","435.00","4.63","435.00","","94","1","0.13","0","0.0","12.94","1.78","20.36","","2017-07-01","4439","深创金服","5000","0","460.36","642.52","9","49.51","100.00","30","4439","","2017-02"
"979","431.00","5.32","28.73","民营系","81","15","1.62","0","0.0","10.66","4.29","54.17","民营系","2017-07-01","2957","锐盈财富","3000","0","2406.93","4861.47","25","33.28","42.57","15","2957","","2017-02"
"980","430.00","2.87","53.75","民营系","150","8","0.16","0","0.0","12.49","3.49","10.55","民营系","2017-07-01","qsp2p","黔商贷","10000","0","793.83","1610.56","23","23.91","60.97","43","1828","","2017-02"
"981","414.62","2.92","16.58","民营系","142","25","1.77","0","0.0","14.44","2.45","-4.14","民营系","2017-07-01","1746","飞特金融","1000","0","1152.07","1773.6","25","0.00","0.00","42","1746","","2017-02"
"982","411.85","14.20","41.19","民营系","29","10","2.35","0","0.0","9.84","5.42","0.61","民营系","2017-07-01","matoue","码头益","1000","0","836.19","2345.07","35","83.00","52.92","53","504","","2017-02"
"983","406.58","5.57","67.76","民营系","73","6","0.79","0","0.0","11.65","2.34","88.07","民营系","2017-07-01","2516","搜搜金融网","1000","0","582.95","791.23","31","47.79","100.00","33","2516","","2017-02"
"984","400.00","9.30","80.00","民营系","43","5","1.12","0","0.0","8.50","5.96","-81.58","民营系","2017-07-01","3609","房融所","3000","0","2094.25","3360.99","19","33.39","92.36","5","3609","","2017-02"
"985","399.50","9.99","26.63","","40","15","3.27","0","0.0","10.34","3.81","-1.75","民营系","2017-07-01","2145","冰川财富","1000","0","1229.27","3268.83","20","39.26","35.32","15","2145","","2017-02"
