青海,2
新疆,5
宁夏,11
内蒙古,12
甘肃,12
海南,13
吉林,13
黑龙江,18
辽宁,27
山西,30
贵州,35
天津,40
江西,45
广西,46
云南,50
陕西,57
重庆,75
福建,85
河南,89
湖南,94
四川,109
河北,116
湖北,121
安徽,158
江苏,213
北京,361
浙江,365
上海,379
山东,582
广东,631
