"id","date","toPay10","toReceive10","wdzjPlatId"
"131","2017-05-31","0.56","1.07","498"
"132","2017-06-30","0.54","0.75","498"
"133","2016-07-31","0.54","0.33","142"
"134","2016-08-31","0.56","0.31","142"
"135","2016-09-30","0.80","0.30","142"
"136","2016-10-31","0.85","0.26","142"
"137","2016-11-30","0.13","0.26","142"
"138","2016-12-31","0.85","0.24","142"
"139","2017-01-31","0.80","0.20","142"
"140","2017-02-28","0.76","0.17","142"
"141","2017-03-31","0.68","0.14","142"
"142","2017-04-30","0.67","0.12","142"
"143","2017-05-31","0.66","0.11","142"
"144","2017-06-30","0.64","0.10","142"
"145","2016-07-31","8.34","0.56","40"
"146","2016-08-31","8.05","0.64","40"
"147","2016-09-30","7.08","0.78","40"
"148","2016-10-31","7.10","0.71","40"
"149","2016-11-30","6.68","0.76","40"
"150","2016-12-31","7.00","0.75","40"
"151","2017-01-31","7.44","0.74","40"
"152","2017-02-28","7.08","0.68","40"
"153","2017-03-31","8.09","0.62","40"
"154","2017-04-30","7.91","0.67","40"
"155","2017-05-31","0.00","0.00","40"
"156","2017-06-30","9.84","0.51","40"
"157","2016-07-31","9.19","1.10","1152"
"158","2016-08-31","7.46","0.81","1152"
"159","2016-09-30","6.67","0.86","1152"
"160","2016-10-31","6.31","0.59","1152"
"161","2016-11-30","8.14","0.70","1152"
"162","2016-12-31","5.81","0.12","1152"
"163","2017-01-31","6.15","0.09","1152"
"164","2017-02-28","5.79","0.07","1152"
"165","2017-03-31","5.22","0.05","1152"
"166","2017-04-30","4.63","0.07","1152"
"167","2017-05-31","4.45","0.07","1152"
"168","2017-06-30","4.18","0.04","1152"
"169","2016-07-31","98.56","1.00","129"
"170","2016-08-31","99.82","0.93","129"
"171","2016-09-30","99.82","0.97","129"
"172","2016-10-31","98.86","0.86","129"
"173","2016-11-30","99.03","0.81","129"
"174","2016-12-31","99.33","0.76","129"
"175","2017-01-31","99.28","0.70","129"
"176","2017-02-28","99.26","0.67","129"
"177","2017-03-31","99.18","0.65","129"
"178","2017-04-30","99.26","0.73","129"
"179","2017-05-31","99.18","0.65","129"
"180","2017-06-30","99.42","0.58","129"
"181","2016-07-31","0.40","9.69","827"
"182","2016-08-31","0.43","9.90","827"
"183","2016-09-30","0.42","9.63","827"
"184","2016-10-31","0.40","10.55","827"
"185","2016-11-30","0.38","10.05","827"
"186","2016-12-31","0.37","9.22","827"
"187","2017-01-31","0.36","8.46","827"
"188","2017-02-28","0.35","9.35","827"
"189","2017-03-31","0.34","8.92","827"
"190","2017-04-30","0.36","8.68","827"
"191","2017-05-31","0.40","40.07","827"
"192","2017-06-30","0.44","8.33","827"
"193","2016-07-31","1.64","64.05","2750"
"194","2016-08-31","2.10","76.97","2750"
"195","2016-09-30","2.13","75.20","2750"
"196","2016-10-31","1.99","69.42","2750"
"197","2016-11-30","1.87","64.53","2750"
"198","2016-12-31","1.68","63.96","2750"
"199","2017-01-31","1.88","63.73","2750"
"200","2017-02-28","1.81","62.31","2750"
"201","2017-03-31","1.74","63.40","2750"
"202","2017-04-30","1.79","67.90","2750"
"203","2017-05-31","1.72","64.64","2750"
"204","2017-06-30","1.70","63.77","2750"
"205","2016-07-31","5.70","1.14","96"
"206","2016-08-31","6.55","1.07","96"
"207","2016-09-30","7.98","0.79","96"
"208","2016-10-31","6.99","0.81","96"
"209","2016-11-30","8.20","0.62","96"
"210","2016-12-31","10.67","0.42","96"
"211","2017-01-31","10.73","0.35","96"
"212","2017-02-28","12.17","0.33","96"
"213","2017-03-31","13.32","0.25","96"
"214","2017-04-30","14.43","0.22","96"
"215","2017-05-31","17.17","0.17","96"
"216","2017-06-30","14.67","0.15","96"
"217","2016-07-31","4.42","6.11","268"
"218","2016-08-31","5.22","5.93","268"
"219","2016-09-30","4.45","6.06","268"
"220","2016-10-31","2.85","5.59","268"
"221","2016-11-30","3.14","5.39","268"
"222","2016-12-31","4.11","5.20","268"
"223","2017-01-31","3.95","5.07","268"
"224","2017-02-28","3.70","4.85","268"
"225","2017-03-31","3.57","4.36","268"
"226","2017-04-30","3.65","4.58","268"
"227","2017-05-31","3.31","4.28","268"
"228","2017-06-30","2.14","3.21","268"
"229","2016-07-31","0.56","0.50","223"
"230","2016-08-31","0.55","0.54","223"
"231","2016-09-30","0.58","0.43","223"
"232","2016-10-31","0.59","0.40","223"
"233","2016-11-30","0.65","0.38","223"
"234","2016-12-31","0.82","0.43","223"
"235","2017-01-31","0.68","0.42","223"
"236","2017-02-28","0.94","0.39","223"
"237","2017-03-31","0.97","0.42","223"
"238","2017-04-30","0.97","0.45","223"
"239","2017-05-31","0.67","0.38","223"
"240","2017-06-30","0.73","0.41","223"
"241","2016-07-31","3.48","13.63","365"
"242","2016-08-31","3.40","13.14","365"
"243","2016-09-30","3.35","12.60","365"
"244","2016-10-31","3.46","12.32","365"
"245","2016-11-30","3.32","11.43","365"
"246","2016-12-31","3.57","9.59","365"
"247","2017-01-31","3.36","12.14","365"
"248","2017-02-28","2.90","12.06","365"
"249","2017-03-31","2.41","10.61","365"
"250","2017-04-30","2.45","10.03","365"
"251","2017-05-31","2.34","10.03","365"
"252","2017-06-30","2.14","10.90","365"
"253","2016-07-31","1.51","5.93","508"
"254","2016-08-31","2.80","15.72","508"
"255","2016-09-30","2.43","11.92","508"
"256","2016-10-31","1.77","6.25","508"
"257","2016-11-30","1.99","5.61","508"
"258","2016-12-31","1.50","4.50","508"
"259","2017-01-31","1.65","3.77","508"
"260","2017-02-28","1.64","3.34","508"
"261","2017-03-31","1.58","2.37","508"
"262","2017-04-30","1.59","1.97","508"
"263","2017-05-31","1.75","1.50","508"
"264","2017-06-30","1.52","1.12","508"
"265","2016-07-31","3.50","14.86","1077"
"266","2016-08-31","5.60","14.67","1077"
"267","2016-09-30","10.52","15.80","1077"
"268","2016-10-31","19.41","18.13","1077"
"269","2016-11-30","17.74","15.51","1077"
"270","2016-12-31","19.61","19.63","1077"
"271","2017-01-31","21.74","20.92","1077"
"272","2017-02-28","23.33","23.81","1077"
"273","2017-03-31","24.57","25.95","1077"
"274","2017-04-30","4.82","27.84","1077"
"275","2017-05-31","4.42","55.15","1077"
"276","2017-06-30","4.69","61.39","1077"
"277","2016-07-31","1.28","2.98","3642"
"278","2016-08-31","1.25","4.30","3642"
"279","2016-09-30","1.23","7.86","3642"
"280","2016-10-31","1.11","13.40","3642"
"281","2016-11-30","1.09","11.64","3642"
"282","2016-12-31","1.05","8.43","3642"
"283","2017-01-31","1.07","8.75","3642"
