"id","actualCapital","aliasName","association","associationDetail","autoBid","autoBidCode","bankCapital","bankFunds","bidSecurity","bindingFlag","businessType","companyName","credit","creditLevel","delayScore","delayScoreDetail","displayFlg","drawScore","drawScoreDetail","equityVoList","experienceScore","experienceScoreDetail","fundCapital","gjlhhFlag","gjlhhTime","gruarantee","inspection","juridicalPerson","locationArea","locationAreaName","locationCity","locationCityName","manageExpense","manageExpenseDetail","newTrustCreditor","newTrustCreditorCode","officeAddress","onlineDate","payment","paymode","platBackground","platBackgroundDetail","platBackgroundDetailExpand","platBackgroundExpand","platEarnings","platEarningsCode","platName","platStatus","platUrl","problem","problemTime","recordId","recordLicId","registeredCapital","riskCapital","riskFunds","riskReserve","riskcontrol","securityModel","securityModelCode","securityModelOther","serviceScore","serviceScoreDetail","startInvestmentAmout","term","termCodes","termWeight","transferExpense","transferExpenseDetail","trustCapital","trustCreditor","trustCreditorMonth","trustFunds","tzjPj","vipExpense","withTzj","withdrawExpense","platId"
"2407","2000.00","财富派 (京)","0","","不支持","0","","0","无","1","个人信贷(30%)、房贷(70%)","北京汇聚融达网络科技有限公司","0","","3.8","一周内","1","2.5","两三天内","[{u'updDate': u'', u'equityCode': u'', u'insDate': u'', u'insUserId': u'', u'equityId': 5, u'updUserId': u'', u'equityMarket': u'', u'updUserName': u'', u'insUserName': u'', u'platId': 3854}]","2.9","一般","","0","","","0","倪鹏钧","11","北京","1105","朝阳","总收益5％(收取总收益的百分之五作为管理费用)","","3个月","3","北京市朝阳区光华路9号soho2期B座11层","2015-08-01","1,2,4","借记卡网付,信用卡网付,线下充值(无奖励)","2","民营系","民营系","2","7.37%","7.37","财富派 (京)","1","http://cfp.caifupad.com/person/toFundMan","0","","京ICP备14051030号 ","京ICP证150205号","2000.00","","0","0.0","0","","","","2.9","一般","","3月标(92.4%)、1月标(4.3%)","[2, 6, 4]","2.62","无","","","","0","","","无","0","3元(每一笔提现会扣除三元现金)","3854"
"2408","5000.00","智融会","1","2015年07月06日加入广东互联网金融协会任会员单位职务","不支持","0","华兴银行","1","风险备用金计划","1","个人信贷(5%)、车贷(10%)、房贷(70%)、供应链金融(5%)","深圳市智融会金融服务有限公司","0","","3.3","一周内","1","2.9","两三天内","","3.1","一般","","0","","","1","陈学铭","44","广东","4403","深圳","按投资收益的10％","","随时","1","广东省深圳市福田区滨河路联合广场A座55楼全层","2013-11-25","","","2","民营系","民营系","2","10.73%","10.73","智融会","1","http://www.ddzrh.com/","0","","粤ICP备13061585号-1 ","","5000.00","","0","1225.22","0","风险准备金(1225.22万元)","02","","3.3","一般","","1月标(55.1%)、2月标(19.8%)","[3, 2, 1, 5, 4, 8]","2.84","转让金额的2％","","","","0","","","","0","无","1113"
"2409","0.00","圈圈贷","1","2013年07月06日加入广东互联网金融协会任监事单位职务","支持","1","华兴银行","1","合作担保机构责任担保","1","","广州市圈圈贷互联网金融信息服务有限公司","0","","3.8","一周内","1","2.9","两三天内","","3.8","满意","","0","","","0","刘晓玲","44","广东","4401","广州","","","随时","1","广州市海珠区新港东路1226号广州地铁万胜广场C塔1301单元","2012-04-17","1,2","借记卡网付,信用卡网付","2","民营系","民营系","2","8.72%","8.72","圈圈贷","1","https://www.ssp2p.com/","0","","粤ICP备12023838号-1","","5000.00","","0","0.0","0","-","01","-","3.8","满意","","1月标(36.4%)、4-6月标(20.0%)","[2, 1, 7, 6, 5, 4]","5.77","转让方0.5％；购买方免费(转出方为转让价格*0.5％；购买方免费。)","","广东华兴银行","","0","3","","--","0","免费(3元/笔，可使用圈圈金币抵扣提现费，一个金币一元，可用3个金币抵扣。)","108"
"2410","4615.00","钱来网","0","","支持","1","","","都是抵押标，若逾期，平台会使用风险备用金账户在逾期当日垫付","1","车贷(2%)、房贷(83%)、","深圳钱来网金融信息服务有限公司","0","","3.4","一周内","1","2.7","两三天内","","3.5","满意","","0","","","1","华猛","44","广东","4403","深圳","无(无)","","随时","1","深圳市福田区新闻路59号深茂商业中心18层","2014-05-12","1","借记卡网付","2","民营系","民营系","2","10.16%","10.16","钱来网","1","http://www.cashlai.com/","0","","粤ICP备14010587号","","5818.00","","0","839.93","1","风险准备金(839.93万元)","02","","3.5","满意","","12-24月标(41.3%)、6-12月标(29.7%)","[3, 2, 7, 6, 5, 4]","7.04","0.3%的转让费","","","","0","","","无(无)","0","投资部分免费，未投资部分收取0.25％(投资部分免费，未投资部分收取0.25％)","581"
"2411","2000.00","升值空间","0","","不支持","0","","0","-","1","企业信贷(50%)、供应链金融(50%)","北京升值空间信息科技有限公司","0","","4.4","三天内","1","4.3","四小时内","","4.0","满意","","0","","","1","武云斌","11","北京","1102","西城","无","","1个月","2","北京市西城区西直门外大街1号院2号楼18C2","2016-01-08","1","借记卡网付","0","","民营系","2","10.64%","10.64","升值空间","1","http://www.dlszkj.com/","0","","京ICP备16008928号-1","","2000.00","","0","0.0","1","","","","4.2","满意","","6-12月标(27.2%)、1月标(18.6%)","[3, 2, 1, 6, 5, 4]","3.9","无","","","","0","","","无","0","无","4198"
"2412","1023.00","喜投网","0","","支持","1","","0","实物抵押","1","车贷(100%)","深圳市喜投金融服务有限公司","0","","3.1","一周内","1","2.0","两三天内","","2.6","一般","","0","","","0","黄生","44","广东","4403","深圳","a.到期本金和利息收益（免服务费）b.充值未投资金额且已满15天（免服务费）c.充值未投资金额且未满15天（收取0.5%服务费）","","随时","1","广东省深圳市福田区车公庙红松大厦A座13楼13D","2014-05-08","1","借记卡网付","2","民营系","风投系","5","11.0%","11.0","喜投网","1","http://www.xitouwang.com/","0","","粤ICP备14020907号-1","","1023.00","","0","0.0","0","机构担保/足额抵押","01","机构担保/足额抵押","2.7","一般","","3月标(100.0%)","[4]","3.0","持有债权不足3个月（含3个月）的，按照债权转让价格的1%收取转让管理费；持有债权3个月以上的，按照债权转让价格的0.5%收取转让管理费。","","","","0","","","免费申请","0","免费","983"
"2413","2000.00","德众金融","1","2016年03月25日加入中国互联网金融协会任理事单位职务","不支持","0","徽商银行","1","实力机构本息担保","1","","安徽德众金融信息服务有限公司","0","","4.0","三天内","1","4.1","四小时内","","3.8","满意","","0","","","1","许圣明","34","安徽","3401","合肥","无","","随时","1","合肥市政务区祁门路1777号合作经济大厦12F","2014-06-06","1,4","借记卡网付,线下充值(无奖励)","0","国资参股","国资参股","4","7.26%","7.26","德众金融","1","http://www.dezhong365.com/","0","","皖ICP备14006564号","","2000.00","","0","0.0","0","融资性担保公司","2","","3.9","满意","","3月标(34.8%)、2月标(26.3%)","[3, 2, 1, 6, 5, 4]","4.84","千分之五(债权出让人收取转让价格的0.5％；债权受让人不收取费用)","","","","0","","","暂无","0","有(5万(含)以下3元/笔；5万-20万(含)8元/笔；20万以上15元/笔)","648"
"2414","2000.00","51帮你","1","2015年09月13日加入杭州市互联网金融协会任会员单位职务","支持","1","","0","风险准备金","1","个人信贷(1%)、车贷(89%)、房贷(10%)","杭州慧信行网络科技有限公司","1","","4.1","三天内","1","3.3","一天内","","3.9","满意","","0","","","0","俞成超","33","浙江","3301","杭州","","","不可转让","5","杭州市滨江区滨康路352号中控信息大厦B幢21层","2012-08-15","","","0","","民营系","2","11.13%","11.13","51帮你","1","https://www.51bangni.com/","0","","浙ICP备12026363号","浙B2-20160687","3000.00","","0","0.0","0","","","","3.9","满意","","1月标(69.0%)、天标(12.4%)","[3, 2, 1, 6, 4]","1.15","无(无)","","","","0","","","","0","","1483"
"2415","2000.00","融通资产","1","2015年12月25日加入江西省互联网金融协会任监事长单位职务","不支持","0","江西银行","1","-","1","个人信贷(5%)、车贷(15%)、房贷(10%)","赣州发展融通资产管理有限公司","1","","3.9","一周内","1","2.9","两三天内","","3.4","一般","","0","","江西中财宝辉担保有限公司(承保10000万元)","0","钟久祥","36","江西","3607","赣州","免费","","1个月","2","江西省赣州市章贡区赣江源大道25号三和悦城1栋8楼","2014-01-22","1","借记卡网付","0","国资控股","国资控股","4","11.61%","11.61","融通资产","1","http://www.rongtongzc.com","0","","赣ICP备13008048号-1 ","","2000.00","","0","0.0","0","小贷公司、融资性担保公司、非融资性担保公司、平台垫付","1,2,3,4","","3.4","一般","","6-12月标(46.7%)、4-6月标(25.8%)","[3, 2, 7, 6, 5, 4]","4.84","","","","","0","","BBB","","0","1元/笔","418"
"2416","5010.00","中兴财富","0","","支持","1","","0","风险准备金","1","车贷(80%)、房贷(20%)","湖北中兴财富金融信息服务股份有限公司","1","","4.2","三天内","1","3.1","一天内","","4.1","满意","","0","","武汉黑羊投资担保有限公司(承保2000万元)<br/>湖北鑫海林投资担保有限公司(承保2000万元)","1","孙祥攀","42","湖北","4201","武汉","目前免收管理费(目前免收管理费)","","随时","1","湖北省武汉市武昌区中南路99号保利广场19楼","2015-03-18","1","借记卡网付","0","","民营系","2","15.51%","15.51","中兴财富","1","http://www.whzxcf.com","0","","鄂ICP备14017254号-2","","5200.00","","0","300.0","0","融资性担保公司、风险准备金(300.0万元)","2,02","","4.1","满意","","12-24月标(34.7%)、3月标(29.2%)","[3, 2, 1, 7, 6, 4, 8]","6.55","0.5％(债权本金的0.5％)","","","","0","","","0","0","0(单笔上限为100万元。)","1653"
