"id","date","toPay50","toReceive50","wdzjPlatId"
"1","2016-07-31","33.18","0.05","59"
"2","2016-08-31","38.93","0.08","59"
"3","2016-09-30","35.57","0.07","59"
"4","2016-10-31","24.86","0.05","59"
"5","2016-11-30","14.45","0.04","59"
"6","2016-12-31","14.35","0.06","59"
"7","2017-01-31","12.27","0.05","59"
"8","2017-02-28","10.78","0.05","59"
"9","2017-03-31","9.95","0.04","59"
"10","2017-04-30","9.36","0.03","59"
"11","2017-05-31","8.42","0.03","59"
"12","2017-06-30","7.66","0.02","59"
"13","2016-07-31","3.70","35.05","60"
"14","2016-08-31","3.86","34.52","60"
"15","2016-09-30","3.72","37.70","60"
"16","2016-10-31","4.05","33.38","60"
"17","2016-11-30","3.67","35.15","60"
"18","2016-12-31","3.82","35.67","60"
"19","2017-01-31","4.31","34.68","60"
"20","2017-02-28","4.89","35.39","60"
"21","2017-03-31","3.59","35.85","60"
"22","2017-04-30","5.53","35.09","60"
"23","2017-05-31","5.44","38.12","60"
"24","2017-06-30","2.92","31.34","60"
"25","2016-07-31","46.21","68.07","1309"
"26","2016-08-31","45.29","67.00","1309"
"27","2016-09-30","42.37","65.90","1309"
"28","2016-10-31","43.58","65.25","1309"
"29","2016-11-30","44.08","63.69","1309"
"30","2016-12-31","44.34","12.51","1309"
"31","2017-01-31","47.10","10.17","1309"
"32","2017-02-28","45.68","9.17","1309"
"33","2017-03-31","49.47","7.83","1309"
"34","2017-04-30","51.92","7.19","1309"
"35","2017-05-31","54.29","12.51","1309"
"36","2017-06-30","55.76","15.94","1309"
"37","2016-07-31","9.23","2.83","38"
"38","2016-08-31","9.17","3.03","38"
"39","2016-09-30","9.14","2.59","38"
"40","2016-10-31","9.16","2.77","38"
"41","2016-11-30","9.70","2.43","38"
"42","2016-12-31","9.02","1.79","38"
"43","2017-01-31","7.05","2.09","38"
"44","2017-02-28","7.25","1.97","38"
"45","2017-03-31","6.17","1.96","38"
"46","2017-04-30","6.46","1.98","38"
"47","2017-05-31","6.04","2.14","38"
"48","2017-06-30","6.79","1.76","38"
"49","2016-07-31","9.15","96.43","505"
"50","2016-08-31","10.58","96.96","505"
"51","2016-09-30","10.96","97.90","505"
"52","2016-10-31","10.44","97.80","505"
"53","2016-11-30","9.37","98.15","505"
"54","2016-12-31","9.45","98.36","505"
"55","2017-01-31","10.38","98.81","505"
"56","2017-02-28","9.74","99.17","505"
"57","2017-03-31","10.34","98.28","505"
"58","2017-04-30","17.35","96.66","505"
"59","2017-05-31","9.96","85.21","505"
"60","2017-06-30","8.39","78.90","505"
"61","2016-07-31","16.01","0.15","689"
"62","2016-08-31","14.14","0.14","689"
"63","2016-09-30","14.12","0.30","689"
"64","2016-10-31","14.75","0.15","689"
"65","2016-11-30","12.85","0.11","689"
"66","2016-12-31","11.60","0.10","689"
"67","2017-01-31","10.35","0.09","689"
"68","2017-02-28","9.15","0.09","689"
"69","2017-03-31","8.50","0.08","689"
"70","2017-04-30","7.32","0.08","689"
"71","2017-05-31","6.37","0.07","689"
"72","2017-06-30","7.59","0.07","689"
"73","2016-07-31","8.88","18.60","91"
"74","2016-08-31","8.47","17.09","91"
"75","2016-09-30","7.98","15.70","91"
"76","2016-10-31","7.24","15.35","91"
"77","2016-11-30","6.59","14.41","91"
"78","2016-12-31","6.15","12.75","91"
"79","2017-01-31","5.79","11.29","91"
"80","2017-02-28","5.73","11.14","91"
"81","2017-03-31","5.78","10.99","91"
"82","2017-04-30","5.32","9.58","91"
"83","2017-05-31","5.46","9.59","91"
"84","2017-06-30","4.74","8.31","91"
"85","2016-07-31","3.09","2.36","4891"
"86","2016-08-31","2.78","2.09","4891"
"87","2016-09-30","2.63","1.87","4891"
"88","2016-10-31","2.28","1.65","4891"
"89","2016-11-30","2.02","1.48","4891"
"90","2016-12-31","1.89","1.08","4891"
"91","2017-01-31","1.75","0.80","4891"
"92","2017-02-28","2.43","0.35","4891"
"93","2017-03-31","2.07","0.23","4891"
"94","2017-04-30","1.30","0.15","4891"
"95","2017-05-31","1.12","0.11","4891"
"96","2017-06-30","1.94","0.10","4891"
"97","2016-07-31","9.06","11.42","942"
"98","2016-08-31","9.14","9.96","942"
"99","2016-09-30","8.61","9.19","942"
"100","2016-10-31","8.22","8.88","942"
"101","2016-11-30","8.61","8.81","942"
"102","2016-12-31","11.09","8.09","942"
"103","2017-01-31","11.86","7.93","942"
"104","2017-02-28","11.76","7.80","942"
"105","2017-03-31","11.35","7.51","942"
"106","2017-04-30","11.60","7.18","942"
"107","2017-05-31","11.84","7.30","942"
"108","2017-06-30","11.77","6.35","942"
"109","2016-07-31","3.68","0.11","85"
"110","2016-08-31","3.47","0.11","85"
"111","2016-09-30","3.45","0.29","85"
"112","2016-10-31","2.88","0.10","85"
"113","2016-11-30","2.75","0.11","85"
"114","2016-12-31","7.25","0.11","85"
"115","2017-01-31","2.23","0.10","85"
"116","2017-02-28","2.13","0.11","85"
"117","2017-03-31","2.03","0.10","85"
"118","2017-04-30","1.98","0.10","85"
"119","2017-05-31","1.92","0.10","85"
"120","2017-06-30","1.86","0.08","85"
"121","2016-07-31","2.15","2.76","498"
"122","2016-08-31","1.90","2.21","498"
"123","2016-09-30","1.84","2.54","498"
"124","2016-10-31","1.79","2.51","498"
"125","2016-11-30","1.63","2.41","498"
"126","2016-12-31","1.79","5.01","498"
"127","2017-01-31","2.54","5.02","498"
"128","2017-02-28","2.25","4.69","498"
"129","2017-03-31","2.01","6.21","498"
"130","2017-04-30","2.08","5.17","498"
"131","2017-05-31","1.97","3.94","498"
"132","2017-06-30","1.85","2.84","498"
"133","2016-07-31","1.67","1.17","142"
"134","2016-08-31","1.75","1.13","142"
"135","2016-09-30","2.48","1.05","142"
"136","2016-10-31","2.62","0.79","142"
"137","2016-11-30","0.13","0.74","142"
"138","2016-12-31","2.55","0.62","142"
"139","2017-01-31","2.35","0.57","142"
"140","2017-02-28","1.51","0.52","142"
"141","2017-03-31","2.05","0.44","142"
"142","2017-04-30","2.06","0.42","142"
"143","2017-05-31","2.04","0.41","142"
"144","2017-06-30","2.02","0.40","142"
"145","2016-07-31","10.56","1.62","40"
"146","2016-08-31","10.15","1.92","40"
"147","2016-09-30","9.26","2.17","40"
"148","2016-10-31","9.05","1.86","40"
"149","2016-11-30","8.57","2.13","40"
"150","2016-12-31","8.93","2.18","40"
"151","2017-01-31","9.37","2.18","40"
"152","2017-02-28","9.04","2.10","40"
"153","2017-03-31","10.02","1.98","40"
"154","2017-04-30","9.88","2.01","40"
"155","2017-05-31","0.00","0.00","40"
"156","2017-06-30","14.67","1.39","40"
"157","2016-07-31","15.47","1.36","1152"
"158","2016-08-31","13.66","1.07","1152"
"159","2016-09-30","12.51","1.10","1152"
"160","2016-10-31","12.16","0.81","1152"
"161","2016-11-30","18.44","0.90","1152"
"162","2016-12-31","12.41","0.30","1152"
"163","2017-01-31","12.96","0.26","1152"
"164","2017-02-28","12.31","0.22","1152"
"165","2017-03-31","11.33","0.19","1152"
"166","2017-04-30","10.71","0.21","1152"
"167","2017-05-31","10.37","0.20","1152"
"168","2017-06-30","9.48","0.15","1152"
"169","2016-07-31","99.97","4.18","129"
"170","2016-08-31","100.00","3.95","129"
"171","2016-09-30","99.99","3.96","129"
"172","2016-10-31","99.98","3.47","129"
"173","2016-11-30","99.98","3.30","129"
"174","2016-12-31","99.98","2.97","129"
"175","2017-01-31","99.95","2.78","129"
"176","2017-02-28","99.94","2.81","129"
"177","2017-03-31","99.96","2.72","129"
"178","2017-04-30","100.00","2.66","129"
"179","2017-05-31","99.99","2.44","129"
"180","2017-06-30","100.00","2.35","129"
"181","2016-07-31","1.59","38.73","827"
"182","2016-08-31","1.59","38.78","827"
"183","2016-09-30","1.53","37.95","827"
"184","2016-10-31","1.46","40.95","827"
"185","2016-11-30","1.40","41.99","827"
"186","2016-12-31","1.33","40.11","827"
"187","2017-01-31","1.29","37.09","827"
"188","2017-02-28","1.32","36.04","827"
"189","2017-03-31","1.30","35.08","827"
"190","2017-04-30","1.41","34.96","827"
"191","2017-05-31","0.40","40.07","827"
"192","2017-06-30","1.57","33.66","827"
"193","2016-07-31","4.74","89.49","2750"
"194","2016-08-31","5.56","97.38","2750"
"195","2016-09-30","5.78","96.06","2750"
"196","2016-10-31","5.52","90.74","2750"
"197","2016-11-30","5.23","87.68","2750"
"198","2016-12-31","4.80","88.07","2750"
"199","2017-01-31","5.07","88.83","2750"
"200","2017-02-28","4.93","89.16","2750"
"201","2017-03-31","5.00","90.52","2750"
"202","2017-04-30","5.25","94.44","2750"
"203","2017-05-31","4.67","93.88","2750"
"204","2017-06-30","4.57","93.88","2750"
"205","2016-07-31","8.88","2.86","96"
"206","2016-08-31","9.63","2.57","96"
"207","2016-09-30","11.36","1.79","96"
"208","2016-10-31","10.92","1.81","96"
"209","2016-11-30","11.80","1.37","96"
"210","2016-12-31","14.21","0.98","96"
"211","2017-01-31","14.34","0.85","96"
"212","2017-02-28","16.00","0.82","96"
"213","2017-03-31","16.58","0.72","96"
"214","2017-04-30","17.88","0.64","96"
"215","2017-05-31","20.62","0.56","96"
